文献,反应位置,底物,产物,中间体,催化剂,配体,溶剂,其它组分,条件（温度、时间、气氛、光源、波长等）,产率,dr,ee,er,直接从文献中抓取的提取错误,实验过程与操作顺序错误,文献中没有明确给出信息，需要模型进行推断，推断产生的错误
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry7; PDF pages: 14,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 6-fluoro-1H-indole-3-carbaldehyde (489 mg, 3 mmol, 1 equiv.)",step2: 6-Fluoro-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (368 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (2 mL/mmol (acyl chloride solution) and 3 mL/mmol (reaction)),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,50%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry8; PDF pages: 14,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 4-methyl-1H-indole-3-carbaldehyde (477 mg, 3 mmol, 1 equiv.)",step2: 4-Methyl-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (485 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (2 mL/mmol (acyl chloride solution) and 3 mL/mmol (reaction)),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,67%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry9; PDF pages: 15,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 4-cyano-1H-indole-3-carbaldehyde (510 mg, 3 mmol, 1 equiv.)",step2: 3-Formyl-1-(pent-4-enoyl)-1H-indole-4-carbonitrile (560 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (2 mL/mmol (acyl chloride solution) and 3 mL/mmol (reaction)),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,74%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry10; PDF pages: 15,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 4-fluoro-1H-indole-3-carbaldehyde (489 mg, 3 mmol, 1 equiv.)",step2: 4-Fluoro-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (441 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (2 mL/mmol (acyl chloride solution) and 3 mL/mmol (reaction)),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,60%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry11; PDF pages: 15,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 4-bromo-1H-indole-3-carbaldehyde (672 mg, 3 mmol, 1 equiv.)",step2: 4-Bromo-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (569 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (2 mL/mmol (acyl chloride solution) and 3 mL/mmol (reaction)),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,62%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry12; PDF pages: 16,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 7-methyl-1H-indole-3-carbaldehyde (477 mg, 3 mmol, 1 equiv.)",step2: (E?) 7-Methyl-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (521 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,72%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry13; PDF pages: 16,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 7-chloro-1H-indole-3-carbaldehyde (539 mg, 3 mmol, 1 equiv.)",step2: 7-Chloro-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (149 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,19%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureA-Entry5; PDF pages: 16,"1H-indole-3-carbaldehyde (1.09 g, 7.5 mmol, 2.5 equiv.); 5-hexenoic acid (356 μL, 3 mmol, 1 equiv.)",1-(Hex-5-enoyl)-1H-indole-3-carbaldehyde (304 mg),,"DMAP (18.3 mg, 0.15 mmol, 0.05 equiv.)",,MeCN (7.5 mL),"2,6-lutidine (35 μL, 0.3 mmol, 0.1 equiv.); Boc2O (1.7 mL, 7.5 mmol, 2.5 equiv.)",temp: 30 °C; time: overnight; atm: Ar,42%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry14; PDF pages: 17,"step1: (E)-hex-4-enoic acid (856 mg, 7.5 mmol, 2.5 equiv.); step2: 1H-indole-3-carbaldehyde (435 mg, 3 mmol, 1 equiv.)",step2: (E)-1-(hex-4-enoyl)-1H-indole-3-carbaldehyde (608 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,84%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry15; PDF pages: 17,"step1: (Z)-hex-4-enoic acid (856 mg, 7.5 mmol, 2.5 equiv.); step2: 1H-indole-3-carbaldehyde (435 mg, 3 mmol, 1 equiv.)",step2: (Z)-1-(hex-4-enoyl)-1H-indole-3-carbaldehyde (246 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,34%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry16; PDF pages: 17,"step1: 3,3-dimethylpent-4-enoic acid (961 mg, 7.5 mmol, 2.5 equiv.); step2: 1H-indole-3-carbaldehyde (435 mg, 3 mmol, 1 equiv.)","step2: 1-(3,3-Dimethylpent-4-enoyl)-1H-indole-3-carbaldehyde (597 mg)",step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,78%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry17; PDF pages: 18,"step1: valeric acid (815 μL, 7.5 mmol, 2.5 equiv.); step2: 1H-indole-3-carbaldehyde (435 mg, 3 mmol, 1 equiv.)",step2: 1-Pentanoyl-1H-indole-3-carbaldehyde (323 mg),step1: corresponding acyl chloride,"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: triethylamine (Et3N) (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,47%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,NonGP-Entry1; PDF pages: 18,"1H-indole-3-carbaldehyde (435 mg, 3 mmol, 1 equiv.); acetic anhydride (500 μL, 5 mmol, 1.7 equiv.)",1-Acetyl-1H-indole-3-carbaldehyde (454 mg),,"DMAP (37 mg, 0.3 mmol, 0.1 equiv.)",,CH2Cl2 (18 mL),"triethylamine (Et3N) (1.0 mL, 7.5 mmol, 2.5 equiv.)",,81%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry1; PDF pages: 21,"step1: 1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (22.7 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (47.6 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 6 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 427 nm; step2: time: 16 h,80%,95:5,92%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry2; PDF pages: 21,"step1: 1-(pent-4-enoyl)-4-methyl-1H-indole-3-carbaldehyde (24.1 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-9-methyl-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (47.9 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 6 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 427 nm; step2: time: 16 h,77%,99:1,92%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry3; PDF pages: 22,"step1: 1-(pent-4-enoyl)-4-bromo-1H-indole-3-carbaldehyde (30.6 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-9-bromo-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (63.2 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 6 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 427 nm; step2: time: 16 h,84%,85:15,92%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry4; PDF pages: 22,"step1: 1-(pent-4-enoyl)-4-fluoro-1H-indole-3-carbaldehyde (24.5 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-9-fluoro-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (51.7 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 6 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 427 nm; step2: time: 16 h,82%,82:18,90%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry5; PDF pages: 23,"step1: 3-formyl-1-(pent-4-enoyl)-1H-indole-4-carbonitrile (25.2 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-9-cyano-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (42.6 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: 1:1 mixture of CHCl3 and chlorobenzene (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (TFA) (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 18 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 400 nm; step2: time: 16 h,66%,95:5,82%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry6; PDF pages: 23,"step1: 5-bromo-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (30.6 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-8-bromo-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (54.2 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (TFA) (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 6 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 427 nm; step2: time: 16 h,72%,95:5,88%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry7; PDF pages: 24,"step1: 3-formyl-1-(pent-4-enoyl)-1H-indole-5-carbonitrile (25.2 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-8-cyano-4-oxo-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (32.2 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (TFA) (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 18 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 400 nm; step2: time: 16 h,50%,95:5,89%,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureC-Entry8; PDF pages: 24,"step1: 3-formyl-1-(pent-4-enoyl)-1H-indol-5-yl 4-methylbenzenesulfonate (39.7 mg, 0.1 mmol, 1 equiv.)","step2: Ethyl (E)-3-((1aR,1a1R,9bS)-4-oxo-8-(tosyloxy)-1a,2,3,4-tetrahydro-1H-benzo[b]cyclobuta[hi]indolizin-9b(1a1H)-yl)acrylate (76 mg)",step1: enantioenriched cycloadduct,"step1: (1S,2S)-1,2-diphenyl-2-(pyrrolidin-1-yl)ethan-1-amine (5.3 mg, 0.02 mmol, 20 mol%)",,step1: CHCl3 (400 μL); step2: CH2Cl2 (0.25 M),"step1: trifluoroacetic acid (TFA) (19 μL, 0.25 mmol, 2.5 equiv.); step2: ethyl(triphenylphosphoranylidene)acetate (87 mg, 0.25 mmol, 2.5 equiv.)",step1: time: 18 h; atm: Argon; light: Kessil lamp set at 50% of its maximum output power; wl: 427 nm; step2: time: 16 h,82%,95:5,90%,,,,
